Date,Topic2,Topic6,Topic8,Topic13,Topic14,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic9,MA_PRICE,Price,Topic54,Topic85
23/2/18,6,3,9,37,12,2,1,22,45,8,23,3,15,5,10693.70368,9931.0717,3,21
24/2/18,5,2,0,40,1,3,3,33,32,9,15,6,8,5,10625.46736,10162.1167,3,9
25/2/18,3,2,51,48,1,4,4,13,34,15,19,5,4,6,10342.86556,9697.956,1,18
26/2/18,4,2,11,47,4,11,5,30,43,21,20,2,5,13,10004.10588,9696.5933,3,17
27/2/18,7,4,106,77,2,9,8,23,65,23,34,5,6,7,9967.2682,10348.6033,12,51
28/2/18,6,8,158,93,6,6,7,19,63,15,37,3,4,5,10133.83052,10763.8833,10,43
1/3/18,5,1,40,23,1,0,5,16,27,7,15,4,1,5,10175.44018,10370.165,3,19
2/3/18,3,3,70,50,7,8,8,26,56,15,30,9,3,8,10437.72532,11009.3817,4,30
3/3/18,5,1,35,35,3,5,3,16,34,7,26,3,7,1,10709.56966,11055.815,6,16
4/3/18,0,3,8,24,1,4,6,8,21,3,12,1,1,2,10905.23866,11326.9483,3,7
5/3/18,6,1,78,39,2,7,5,27,49,15,32,1,6,2,11038.49834,11430.1817,2,31
6/3/18,5,6,127,67,9,11,14,36,85,13,42,7,2,8,11283.57334,11595.54,14,42
7/3/18,4,6,58,86,5,6,6,33,39,10,32,7,8,11,11234.33666,10763.1983,5,31
8/3/18,4,6,16,30,4,2,7,19,24,2,7,0,5,2,11046.78526,10118.058,4,11
9/3/18,6,3,11,37,4,2,8,17,40,7,23,2,2,4,10667.21794,9429.1117,2,14
10/3/18,2,1,12,22,1,3,3,11,23,4,10,1,1,4,10199.03726,9089.2783,6,7
11/3/18,5,1,1,20,4,9,2,17,36,6,7,5,0,6,9629.12966,8746.002,1,10
12/3/18,3,2,21,35,1,6,5,22,37,9,19,4,12,7,9428.76934,9761.3967,7,19
13/3/18,6,6,17,41,4,2,8,28,45,11,13,5,3,6,9241.7264,9182.8433,3,13
14/3/18,8,8,94,82,2,10,5,27,65,33,50,4,7,10,9186.84406,9154.7,7,45
15/3/18,3,6,3,67,12,6,9,42,53,29,47,6,7,14,8999.29474,8151.5317,5,22
16/3/18,2,4,81,69,4,3,4,40,58,19,27,2,6,8,8921.71868,8358.1217,4,29
17/3/18,6,6,30,62,4,7,0,26,41,23,24,3,5,2,8675.51974,8530.402,3,21
18/3/18,18,9,167,162,11,6,8,51,109,36,63,8,7,15,8437.686,7993.6746,7,87
19/3/18,3,0,55,46,3,5,9,28,53,12,22,2,3,6,8241.029,8171.415,2,21
20/3/18,4,4,2,55,5,1,3,28,49,7,13,2,7,5,8293.12932,8412.0333,4,14
21/3/18,1,4,26,38,4,5,1,15,41,10,23,4,3,8,8418.89464,8986.9483,10,18
22/3/18,2,3,15,36,2,4,6,26,52,15,16,2,5,6,8502.3649,8947.7533,3,17
23/3/18,1,5,71,47,8,5,2,20,38,13,31,2,4,2,8641.71164,8690.4083,6,32
24/3/18,3,1,132,91,3,7,5,30,64,25,78,5,8,1,8744.79398,8686.8267,19,51
25/3/18,0,4,96,68,5,8,1,19,60,26,52,2,3,3,8794.86298,8662.3783,2,41
26/3/18,2,9,141,80,7,7,6,31,91,18,34,4,17,5,8720.93266,8617.2967,12,51
27/3/18,4,5,46,80,4,4,10,38,66,15,44,4,6,13,8570.89166,8197.5483,6,30
28/3/18,7,6,34,65,3,5,5,42,45,19,26,2,7,6,8408.049,7876.195,3,28
29/3/18,11,10,105,101,7,9,6,27,69,18,46,7,8,14,8262.75966,7960.38,8,32
30/3/18,8,8,68,70,7,8,4,35,47,18,37,3,4,9,7964.74,7172.28,10,28
