Date,Topic2,Topic6,Topic8,Topic13,Topic17,Topic22,Topic23,Topic29,Topic36,Topic58,Topic66,Topic67,Topic69,Topic93,MA_PRICE,Price
29/5/18,7,2,82,59,15,2,4,27,60,14,43,8,9,8,7369.342667,7130.541667
30/5/18,7,17,56,79,22,1,7,35,61,21,44,6,10,3,7348.079333,7459.876667
31/5/18,1,2,9,27,6,6,8,24,30,5,16,3,1,3,7336.110667,7385.395
1/6/18,1,4,45,51,8,8,4,36,44,19,34,6,3,7,7365.8158,7491.434
2/6/18,5,4,47,30,9,3,3,15,43,12,27,7,4,2,7400.4788,7535.146667
3/6/18,2,3,8,29,9,3,0,11,27,8,8,1,0,2,7503.3998,7645.146667
4/6/18,1,1,17,38,7,2,4,17,17,13,17,2,4,1,7551.401667,7699.886
5/6/18,1,6,45,46,17,1,1,22,42,14,23,1,1,2,7574.377333,7500.273333
6/6/18,1,2,14,65,23,4,3,24,31,16,14,5,6,0,7599.234962,7615.722142
7/6/18,0,2,3,26,2,0,0,9,21,4,6,3,1,2,7623.328295,7655.613333
8/6/18,3,1,5,52,7,7,10,25,52,18,24,1,3,4,7629.553295,7676.271667
9/6/18,2,2,8,34,6,1,3,19,28,6,11,3,5,2,7613.606762,7620.153333
10/6/18,8,5,35,66,11,6,3,21,60,14,29,4,4,5,7626.433762,7564.408333
11/6/18,3,5,40,81,11,10,6,25,69,14,31,3,3,2,7458.667,6776.888333
12/6/18,4,7,57,122,33,4,3,77,85,40,42,10,11,7,7302.68,6875.678333
13/6/18,2,5,12,82,17,7,4,80,78,29,34,6,12,2,7074.442,6535.081667
14/6/18,8,1,11,54,25,4,5,35,52,9,24,4,8,4,6813.551333,6315.7
15/6/18,5,1,2,54,11,8,14,39,48,33,23,5,12,6,6630.072333,6647.013333
16/6/18,0,3,5,33,8,1,1,16,39,6,14,14,1,2,6561.512267,6434.088
17/6/18,7,4,32,55,13,6,3,43,64,19,34,14,8,5,6488.261933,6509.426667
18/6/18,4,2,7,66,10,5,2,32,36,9,22,2,4,2,6474.127933,6464.411667
19/6/18,6,6,2,68,10,7,5,45,63,22,25,8,8,8,6553.685533,6713.488
20/6/18,2,6,16,49,6,3,7,25,41,11,16,10,3,1,6571.682867,6737
21/6/18,4,4,7,44,12,12,12,75,72,33,43,5,16,5,6627.808933,6714.718333
22/6/18,4,3,2,31,22,1,5,24,38,8,22,5,4,2,6672.703933,6733.901667
