"Date","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10"
2018-11-05,"57","107","110","80","80","98","70","166","110","136"
2018-11-06,"117","147","169","104","106","141","94","211","119","160"
2018-11-07,"66","124","97","59","87","115","66","262","84","163"
2018-11-08,"97","98","97","57","82","104","66","175","116","95"
2018-11-09,"59","81","64","32","43","83","33","108","68","95"
2018-11-10,"76","61","77","47","86","71","31","96","62","107"
2018-11-11,"69","79","89","49","45","92","63","118","79","125"
2018-11-12,"88","96","122","66","85","132","67","226","105","164"
2018-11-13,"120","122","92","57","59","139","47","91","172","76"
2018-11-14,"133","127","125","80","105","157","80","205","125","109"
2018-11-15,"106","121","114","78","74","147","60","171","124","123"
2018-11-16,"133","110","92","52","86","123","67","142","84","143"
2018-11-17,"99","95","107","66","100","89","100","142","82","115"
2018-11-18,"97","110","113","44","83","101","76","137","103","112"
2018-11-19,"186","208","151","90","131","216","111","236","181","199"
2018-11-20,"142","134","133","85","106","154","84","229","165","155"
2018-11-21,"117","124","113","73","81","122","78","162","121","135"
2018-11-22,"134","160","145","99","89","157","139","266","109","152"
2018-11-23,"32","36","53","59","31","34","33","48","44","37"
2018-11-24,"64","29","35","20","24","20","29","34","34","42"
2018-11-25,"49","44","32","13","35","32","31","27","44","25"
2018-11-26,"86","57","37","31","47","57","27","49","41","48"
2018-11-27,"58","49","78","64","61","59","79","47","77","50"
2018-11-28,"129","71","93","61","61","73","61","42","84","70"
2018-11-29,"71","64","60","27","36","45","67","53","59","65"
2018-11-30,"79","62","99","43","53","82","38","68","60","51"
2018-12-01,"52","56","53","35","40","54","30","42","45","44"
2018-12-02,"64","81","40","31","44","92","37","43","115","62"
2018-12-03,"64","53","60","52","45","58","31","33","63","37"
2018-12-04,"42","41","61","38","32","52","25","51","45","39"
2018-12-05,"116","107","74","48","70","108","74","132","70","89"
2018-12-06,"83","60","75","52","62","94","50","104","72","80"
2018-12-07,"112","72","64","58","72","65","37","100","84","60"
2018-12-08,"66","54","52","34","45","48","65","67","59","70"
2018-12-09,"75","50","52","27","50","77","36","99","66","64"
2018-12-10,"47","77","59","34","41","75","48","82","68","36"
2018-12-11,"73","94","101","57","63","135","68","124","106","92"
2018-12-12,"66","68","88","34","70","71","47","58","80","67"
2018-12-13,"118","104","88","64","72","85","58","156","82","108"
2018-12-14,"61","103","125","57","82","100","45","210","78","158"
2018-12-15,"44","54","41","34","36","47","22","57","56","55"
2018-12-16,"40","50","65","32","46","72","25","118","48","81"
2018-12-17,"126","195","144","94","93","276","83","230","357","193"
2018-12-18,"109","167","136","78","96","157","85","227","141","165"
2018-12-19,"93","93","81","45","42","97","50","175","70","134"
2018-12-20,"107","96","98","39","61","87","40","114","80","92"
2018-12-21,"90","100","103","58","113","111","70","185","86","129"
2018-12-22,"42","86","57","72","60","84","179","102","74","97"
2018-12-23,"59","87","80","64","64","98","62","161","99","136"
2018-12-24,"51","84","68","49","106","78","53","133","94","93"
2018-12-25,"68","116","105","76","87","151","62","156","98","143"
2018-12-26,"50","74","87","35","42","79","34","99","68","77"
2018-12-27,"127","182","192","96","121","196","177","397","128","328"
2018-12-28,"141","230","226","116","121","269","121","262","252","201"
